Disease,Symptom_1,Symptom_2,Symptom_3,Symptom_4,Symptom_5,Symptom_6,Symptom_7,Symptom_8,Symptom_9,Symptom_10,Symptom_11,Symptom_12
teething syndrome,cough,nasal congestion,diarrhea,symptoms of infants,decreased appetite,fever,redness in ear,ear pain,temper problems,,,
infectious gastroenteritis,blood in stool,sharp abdominal pain,vomiting,nausea,diarrhea,burning abdominal pain,decreased appetite,fever,chills,fluid retention,flu-like syndrome,headache
acute sinusitis,sore throat,ear pain,frontal headache,fever,coryza,sinus congestion,nasal congestion,coughing up sputum,painful sinuses,cough,facial pain,
substance-related mental disorder,anxiety and nervousness,insomnia,hostile behavior,feeling ill,delusions or hallucinations,drug abuse,depressive or psychotic symptoms,,,,,
postpartum depression,depressive or psychotic symptoms,drug abuse,pain during pregnancy,problems during pregnancy,anxiety and nervousness,depression,intermenstrual bleeding,excessive anger,delusions or hallucinations,,,
coronary atherosclerosis,palpitations,irregular heartbeat,burning chest pain,chest tightness,shortness of breath,sharp chest pain,fatigue,leg cramps or spasms,,,,
spondylitis,leg pain,hip pain,low back pain,side pain,lower body pain,or spasms",back pain,stiffness all over,neck pain,,,
pituitary adenoma,nausea,pain in eye,muscle swelling,headache,,,,,,,,
uterine fibroids,sharp abdominal pain,involuntary urination,lower abdominal pain,nosebleed,long menstrual periods,heavy menstrual flow,pelvic pain,cramps and spasms,intermenstrual bleeding,,,
idiopathic nonmenstrual bleeding,sharp abdominal pain,painful urination,back mass or lump,vaginal discharge,long menstrual periods,intermenstrual bleeding,,,,,,
chalazion,skin growth,diminished vision,symptoms of eye,pain in eye,lacrimation,sweating,mass on eyelid,foreign body sensation in eye,frequent menstruation,eye redness,,
ovarian torsion,skin swelling,sharp abdominal pain,lower abdominal pain,ache all over,pelvic pain,groin mass,,,,,,
retinopathy due to high blood pressure,pus draining from ear,diminished vision,symptoms of eye,foreign body sensation in eye,pain in eye,spots or clouds in vision,,,,,,
vaginal yeast infection,suprapubic pain,sharp abdominal pain,vaginal itching,painful urination,lower abdominal pain,vaginal pain,symptoms of bladder,vulvar irritation,vaginal redness,vaginal discharge,,
mastoiditis,nasal congestion,diminished hearing,dizziness,facial pain,cough,ear pain,,,,,,
lung contusion,shortness of breath,sharp chest pain,ache all over,back pain,,,,,,,,
hypertrophic obstructive cardiomyopathy (hocm),anxiety and nervousness,sharp chest pain,emotional symptoms,,,,,,,,,
ingrown toe nail,abnormal appearing skin,skin growth,neck swelling,foot or toe pain,foot or toe swelling,hurts to breath,nailbiting,skin on leg or foot looks infected,unwanted hair,sweating,,
pulmonary eosinophilia,sharp chest pain,nasal congestion,paresthesia,dizziness,cough,fever,shortness of breath,,,,,
corneal disorder,diminished vision,foreign body sensation in eye,spots or clouds in vision,lacrimation,white discharge from eye,double vision,eye redness,pain in eye,itchiness of eye,symptoms of eye,,
foreign body in the gastrointestinal tract,lump in throat,difficulty in swallowing,recent weight loss,sharp abdominal pain,vomiting,vomiting blood,,,,,,
endophthalmitis,painful urination,diminished vision,pain in eye,sweating,eye redness,itchiness of eye,,,,,,
intestinal malabsorption,cough,sharp abdominal pain,vomiting,allergic reaction,nasal congestion,flatulence,diarrhea,,,,,
viral warts,skin swelling,lip swelling,abnormal appearing skin,skin growth,skin moles,skin irritation,skin lesion,itchy scalp,acne or pimples,,,
hyperhidrosis,cough,fever,skin irritation,infertility,acne or pimples,,,,,,,
stroke,abnormal involuntary movements,difficulty speaking,headache,problems with movement,focal weakness,slurring words,depressive or psychotic symptoms,dizziness,seizures,disturbance of memory,,
pilonidal cyst,skin growth,pelvic pain,bones are painful,skin swelling,pain of the anus,lower body pain,irregular appearing scalp,ache all over,,,,
crushing injury,hand or finger pain,hand or finger swelling,neck swelling,foot or toe pain,knee swelling,hand or finger stiffness or tightness,,,,,,
normal pressure hydrocephalus,depressive or psychotic symptoms,palpitations,headache,problems with movement,,,,,,,,
alopecia,feeling ill,acne or pimples,irregular appearing scalp,symptoms of bladder,hip swelling,skin swelling,skin growth,foot or toe cramps or spasms,,,,
hashimoto thyroiditis,abnormal involuntary movements,weight gain,,,,,,,,,,
flat feet,skin swelling,knee pain,ankle pain,problems with movement,foot or toe pain,,,,,,,
nonalcoholic liver disease (nash),dizziness,sharp abdominal pain,nausea,mouth ulcer,weight gain,,,,,,,
hemarthrosis,frequent urination,knee pain,elbow weakness,knee swelling,,,,,,,,
pelvic organ prolapse,suprapubic pain,blood in urine,intermenstrual bleeding,vaginal pain,eyelid lesion or rash,retention of urine,frequent urination,vaginal discharge,involuntary urination,,,
fracture of the arm,arm stiffness or tightness,wrist stiffness or tightness,elbow pain,wrist pain,arm pain,arm swelling,shoulder pain,premenstrual tension or irritability,shoulder stiffness or tightness,wrist swelling,,
coagulation (bleeding) disorder,blood in urine,knee swelling,melena,leg pain,eye redness,,,,,,,
intracranial hemorrhage,dizziness,abnormal involuntary movements,difficulty speaking,vomiting,diminished vision,seizures,depressive or psychotic symptoms,headache,,,,
hyperkalemia,depressive or psychotic symptoms,difficulty in swallowing,feeling ill,vomiting,nausea,decreased heart rate,shortness of breath,weakness,dizziness,sharp chest pain,,
cornea infection,diminished vision,symptoms of eye,pain in eye,spots or clouds in vision,eye redness,lacrimation,eye burns or stings,itchiness of eye,lip swelling,foreign body sensation in eye,sweating,
abscess of the lung,depressive or psychotic symptoms,itchy eyelid,shortness of breath,cough,,,,,,,,
dengue fever,sore throat,wrist pain,,,,,,,,,,
chronic sinusitis,cough,facial pain,ear pain,fever,sinus congestion,sore throat,congestion in chest,frontal headache,headache,painful sinuses,,
cholesteatoma,nasal congestion,diminished hearing,pus draining from ear,muscle swelling,,,,,,,,
volvulus,depressive or psychotic symptoms,elbow weakness,vomiting,sharp abdominal pain,,,,,,,,
injury to the finger,swelling of scrotum,hand or finger swelling,hand or finger pain,hand or finger stiffness or tightness,,,,,,,,
poisoning due to analgesics,depressive or psychotic symptoms,skin swelling,problems during pregnancy,depression,vomiting,abusing alcohol,,,,,,
atrial fibrillation,shortness of breath,sharp chest pain,palpitations,decreased heart rate,increased heart rate,fatigue,dizziness,irregular heartbeat,,,,
pinworm infection,painful urination,pain of the anus,constipation,mass on ear,retention of urine,sharp abdominal pain,,,,,,
urethral valves,suprapubic pain,sharp abdominal pain,lower abdominal pain,elbow weakness,side pain,,,,,,,
open wound of the neck,skin swelling,skin lesion,peripheral edema,ache all over,abnormal appearing skin,,,,,,,
achalasia,chest tightness,cough,throat feels tight,difficulty in swallowing,sharp chest pain,,,,,,,
conductive hearing loss,dizziness,hoarse voice,difficulty speaking,diminished hearing,ringing in ear,fluid in ear,plugged feeling in ear,redness in ear,elbow stiffness or tightness,ear pain,,
abdominal hernia,groin mass,symptoms of the scrotum and testes,lower abdominal pain,regurgitation,swollen abdomen,regurgitation.1,hand or finger weakness,ache all over,sharp abdominal pain,upper abdominal pain,,
cerebral palsy,lack of growth,problems with movement,infant feeding problem,blindness,cramps and spasms,seizures,,,,,,
marijuana abuse,depressive or psychotic symptoms,hostile behavior,drug abuse,excessive anger,delusions or hallucinations,temper problems,fears and phobias,difficulty speaking,anxiety and nervousness,depression,abusing alcohol,elbow stiffness or tightness
cryptococcosis,depressive or psychotic symptoms,cross-eyed,,,,,,,,,,
obesity,weight gain,sleepiness,excessive appetite,,,,,,,,,
indigestion,sharp chest pain,burning abdominal pain,heartburn,decreased appetite,sharp abdominal pain,nausea,diarrhea,stomach bloating,vomiting,,,
bursitis,leg pain,arm stiffness or tightness,knee swelling,premenstrual tension or irritability,arm pain,shoulder pain,hip pain,arm swelling,shoulder stiffness or tightness,elbow pain,leg swelling,knee pain
esophageal cancer,sharp abdominal pain,shortness of breath,hoarse voice,decreased appetite,stomach bloating,,,,,,,
pulmonary congestion,shortness of breath,cough,weakness,fever,sharp chest pain,decreased heart rate,chest tightness,leg swelling,nasal congestion,,,
juvenile rheumatoid arthritis,hand or finger pain,wrist swelling,knee pain,joint pain,back pain,,,,,,,
actinic keratosis,skin swelling,skin lesion,skin growth,skin moles,symptoms of the face,hurts to breath,"skin dryness,foot or toe cramps or spasms,irregular appearing scalp,symptoms of bladder,abnormal appearing skin,
acute otitis media,sore throat,cough,nasal congestion,plugged feeling in ear,fluid in ear,coryza,ear pain,redness in ear,fever,diminished hearing,,
astigmatism,diminished vision,spots or clouds in vision,symptoms of eye,pain in eye,foreign body sensation in eye,double vision,lacrimation,eye deviation,,,,
tuberous sclerosis,depressive or psychotic symptoms,elbow weakness,seizures,,,,,,,,,
empyema,sharp chest pain,cough,leg pain,shortness of breath,,,,,,,,
presbyacusis,dizziness,diminished hearing,emotional symptoms,ear pain,ringing in ear,,,,,,,
neonatal jaundice,lack of growth,irritable infant,changes in stool appearance,jaundice,infant feeding problem,,,,,,,
chronic obstructive pulmonary disease (copd),sharp chest pain,chest tightness,cough,nasal congestion,coughing up sputum,coryza,congestion in chest,shortness of breath,sore throat,wheezing,fever,
dislocation of the elbow,irritable infant,wrist pain,elbow pain,depression,arm pain,arm stiffness or tightness,premenstrual tension or irritability,,,,,
spondylosis,leg pain,hip pain,arm pain,neck pain,low back pain,knee pain,loss of sensation,back pain,paresthesia,shoulder pain,lower body pain,ache all over
herpangina,insomnia,cough,mouth ulcer,swollen lymph nodes,sore throat,decreased appetite,fever,foot or toe cramps or spasms,vomiting,,,
injury to the shoulder,arm stiffness or tightness,bones are painful,shoulder pain,neck pain,"muscle cramps,arm pain,back pain,shoulder stiffness or tightness,elbow pain,,,
poisoning due to antidepressants,emotional symptoms,abusing alcohol,drug abuse,depression,,,,,,,,
infection of open wound,insomnia,hand or finger swelling,abnormal appearing skin,leg pain,,,,,,,,
deep vein thrombosis (dvt),abnormal appearing skin,leg cramps or spasms,leg stiffness or tightness,leg pain,arm swelling,foot or toe swelling,leg swelling,,,,,
protein deficiency,depression,vomiting,nausea,smoking problems,weakness,,,,,,,
myoclonus,insomnia,abnormal involuntary movements,muscle swelling,seizures,,,,,,,,
bone spur of the calcaneous,foot or toe pain,ankle pain,elbow pain,foot or toe swelling,leg pain,,,,,,,
von willebrand disease,blood in stool,muscle swelling,low back cramps or spasms,,,,,,,,,
open wound of the back,irregular heartbeat,weight gain,lower body pain,skin lesion,,,,,,,,
heart block,shortness of breath,sharp chest pain,dizziness,chest tightness,irregular heartbeat,peripheral edema,weight gain,palpitations,weakness,fainting,,
colonic polyp,flatulence,sharp abdominal pain,heartburn,blood in stool,pain of the anus,upper abdominal pain,diarrhea,rectal bleeding,,,,
magnesium deficiency,shortness of breath,sharp chest pain,dizziness,leg pain,,,,,,,,
female infertility of unknown cause,scanty menstrual flow,back mass or lump,long menstrual periods,pain during intercourse,unpredictable menstruation,,,,,,,
pericarditis,shortness of breath,chest tightness,palpitations,sharp abdominal pain,sharp chest pain,lower body pain,,,,,,
attention deficit hyperactivity disorder (adhd),depression,depressive or psychotic symptoms,lack of growth,hostile behavior,temper problems,disturbance of smell or taste,anxiety and nervousness,drug abuse,restlessness,,,
pulmonic valve disease,shortness of breath,emotional symptoms,,,,,,,,,,
tietze syndrome,shortness of breath,chest tightness,cough,nausea,loss of sensation,difficulty breathing,rib pain,sharp chest pain,,,,
cranial nerve palsy,difficulty speaking,facial pain,double vision,abnormal movement of eyelid,abnormal involuntary movements,diminished vision,symptoms of the face,headache,,,,
injury to the arm,hand or finger pain,arm pain,bones are painful,loss of sensation,premenstrual tension or irritability,hand or finger swelling,elbow pain,wrist pain,wrist swelling,arm swelling,joint pain,arm stiffness or tightness
conversion disorder,anxiety and nervousness,depression,cough,seizures,,,,,,,,
complex regional pain syndrome,leg pain,hand or finger pain,foot or toe pain,ache all over,arm pain,back pain,neck pain,low back pain,loss of sensation,abnormal involuntary movements,problems with movement,paresthesia
otosclerosis,dizziness,diminished hearing,emotional symptoms,,,,,,,,,
injury to the trunk,symptoms of the scrotum and testes,headache,back pain,neck pain,shoulder pain,rib pain,sharp chest pain,wrist pain,low back pain,bones are painful,lower body pain,
hypothyroidism,hot flashes,wrist swelling,weight gain,fatigue,hip swelling,muscle pain,,,,,,
primary insomnia,anxiety and nervousness,insomnia,abnormal involuntary movements,sleepiness,fatigue,delusions or hallucinations,abnormal breathing sounds,,,,,
lice,cough,nasal congestion,symptoms of bladder,peeling,lip sore,,,,,,,
vitamin b12 deficiency,knee stiffness or tightness,disturbance of memory,fatigue,hot flashes,problems with movement,,,,,,,
diabetes,weight gain,obsessions and compulsions,,,,,,,,,,
vulvodynia,nausea,back pain,pelvic pain,burning abdominal pain,side pain,painful urination,lower abdominal pain,vaginal discharge,pain during pregnancy,sharp abdominal pain,vaginal pain,cramps and spasms
endometriosis,sharp abdominal pain,hot flashes,intermenstrual bleeding,pelvic pain,heavy menstrual flow,unpredictable menstruation,lower abdominal pain,burning abdominal pain,nosebleed,,,
vasculitis,headache,foot or toe swelling,leg stiffness or tightness,lymphedema,foot or toe cramps or spasms,dizziness,leg pain,skin lesion,,,,
concussion,dizziness,difficulty speaking,headache,nausea,rib pain,facial pain,back pain,neck pain,sleepiness,vomiting,double vision,disturbance of memory
oral leukoplakia,skin swelling,elbow weakness,tongue lesions,,,,,,,,,
chronic kidney disease,shortness of breath,peripheral edema,fatigue,feeling cold,symptoms of the kidneys,,,,,,,
bladder disorder,suprapubic pain,painful urination,involuntary urination,frequent urination,lower abdominal pain,blood in urine,retention of urine,sharp abdominal pain,eyelid lesion or rash,,,
chorioretinitis,pain in eye,spots or clouds in vision,diminished vision,double vision,muscle swelling,,,,,,,
priapism,abusing alcohol,mouth pain,elbow weakness,painful urination,,,,,,,,
myositis,leg pain,hip pain,headache,loss of sensation,knee pain,problems with movement,,,,,,
mononucleosis,cough,feeling ill,headache,swollen lymph nodes,nasal congestion,fever,foot or toe cramps or spasms,sore throat,,,,
neuralgia,hip pain,headache,arm pain,neck pain,loss of sensation,ache all over,leg pain,back pain,shoulder pain,low back pain,,
polycystic kidney disease,retention of urine,blood in urine,skin growth,kidney mass,sharp abdominal pain,low back pain,back pain,side pain,,,,
bipolar disorder,abusing alcohol,excessive anger,temper problems,leg lump or mass,depression,insomnia,delusions or hallucinations,anxiety and nervousness,depressive or psychotic symptoms,fears and phobias,,
amyloidosis,anxiety and nervousness,shortness of breath,wrist weakness,,,,,,,,,
chronic inflammatory demyelinating polyneuropathy (cidp),dizziness,weakness,loss of sensation,problems with movement,,,,,,,,
gastroesophageal reflux disease (gerd),cough,difficulty in swallowing,sharp abdominal pain,burning abdominal pain,hoarse voice,regurgitation,regurgitation.1,sharp chest pain,nausea,chest tightness,,
vitreous hemorrhage,symptoms of eye,pain in eye,lacrimation,diminished vision,spots or clouds in vision,blindness,,,,,,
poisoning due to antimicrobial drugs,shortness of breath,abnormal involuntary movements,peripheral edema,allergic reaction,problems with movement,foot or toe cramps or spasms,,,,,,
open wound of the mouth,lip swelling,peripheral edema,seizures,toothache,mouth ulcer,tongue lesions,,,,,,
scleroderma,feeling ill,lip swelling,abnormal appearing skin,skin growth,hurts to breath,skin lesion,symptoms of bladder,"skin dryness,,,,
myasthenia gravis,shortness of breath,dizziness,double vision,slurring words,coughing up sputum,fatigue,weakness,,,,,
hypoglycemia,depressive or psychotic symptoms,dizziness,abnormal involuntary movements,feeling ill,nausea,problems with movement,seizures,infertility,fainting,weakness,decreased appetite,sleepiness
idiopathic absence of menstruation,nausea,lower abdominal pain,pelvic pain,pain or soreness of breast,back mass or lump,sharp abdominal pain,vaginal itching,absence of menstruation,heartburn,,,
dislocation of the ankle,emotional symptoms,foot or toe pain,too little hair,ankle pain,,,,,,,,
carbon monoxide poisoning,depressive or psychotic symptoms,headache,emotional symptoms,vomiting,nausea,dizziness,,,,,,
panic attack,anxiety and nervousness,sharp chest pain,chest tightness,loss of sensation,shortness of breath,irregular heartbeat,weakness,,,,,
plantar fasciitis,knee pain,foot or toe pain,ankle pain,bones are painful,problems with movement,too little hair,muscle pain,,,,,
hyperopia,difficulty speaking,eye deviation,symptoms of eye,spots or clouds in vision,eye redness,diminished vision,,,,,,
poisoning due to sedatives,depression,drug abuse,depressive or psychotic symptoms,insomnia,hostile behavior,sleepiness,,,,,,
pemphigus,hand or finger pain,skin lesion,abnormal appearing skin,,,,,,,,,
peyronie disease,mass in scrotum,impotence,mouth pain,emotional symptoms,symptoms of prostate,,,,,,,
hiatal hernia,dizziness,difficulty in swallowing,nausea,regurgitation,burning abdominal pain,heartburn,regurgitation.1,sharp chest pain,back pain,vomiting blood,upper abdominal pain,sharp abdominal pain
extrapyramidal effect of drugs,abnormal involuntary movements,headache,restlessness,seizures,anxiety and nervousness,arm stiffness or tightness,,,,,,
meniere disease,headache,ringing in ear,nausea,facial pain,ear pain,dizziness,diminished hearing,allergic reaction,,,,
anal fissure,blood in stool,sharp abdominal pain,vaginal dryness,lower body pain,changes in stool appearance,constipation,pain of the anus,rectal bleeding,,,,
allergy,skin swelling,lip swelling,itchiness of eye,fluid retention,sweating,symptoms of bladder,foot or toe cramps or spasms,cough,abnormal appearing skin,allergic reaction,peripheral edema,
chronic otitis media,cough,nasal congestion,ear pain,allergic reaction,pulling at ears,painful sinuses,plugged feeling in ear,fever,fluid in ear,redness in ear,,
fracture of the finger,hand or finger swelling,hand or finger stiffness or tightness,foot or toe pain,hand or finger pain,foot or toe swelling,,,,,,,
hirschsprung disease,emotional symptoms,sharp abdominal pain,constipation,,,,,,,,,
polymyalgia rheumatica,irregular heartbeat,difficulty in swallowing,leg pain,sharp chest pain,shoulder pain,fatigue,,,,,,
lymphedema,throat swelling,abnormal appearing skin,skin lesion,peripheral edema,lymphedema,leg swelling,fluid retention,leg pain,foot or toe swelling,,,
bladder cancer,groin mass,mass in scrotum,blood in urine,excessive urination at night,eyelid lesion or rash,poor circulation,retention of urine,,,,,
acute bronchospasm,sharp chest pain,chest tightness,nasal congestion,vomiting,wheezing,difficulty breathing,shortness of breath,fever,sore throat,coryza,cough,
acute glaucoma,diminished vision,blindness,double vision,symptoms of eye,spots or clouds in vision,eye redness,foreign body sensation in eye,pain in eye,,,,
open wound of the chest,sharp chest pain,drug abuse,,,,,,,,,,
dislocation of the patella,knee pain,knee stiffness or tightness,knee swelling,,,,,,,,,
sciatica,leg pain,hip pain,low back pain,leg cramps or spasms,unusual color or odor to urine,skin oiliness,problems with movement,back cramps or spasms,loss of sensation,lower body pain,,
hypercalcemia,dizziness,retention of urine,weakness,loss of sensation,,,,,,,,
stress incontinence,retention of urine,painful urination,frequent urination,blood in urine,hot flashes,intermenstrual bleeding,involuntary urination,,,,,
varicose veins,leg pain,leg swelling,lymphedema,lip sore,leg cramps or spasms,ache all over,skin lesion,peripheral edema,,,,
benign kidney cyst,sharp abdominal pain,vomiting,involuntary urination,blood in urine,low back pain,impotence,side pain,,,,,
hydrocele of the testicle,retention of urine,groin mass,symptoms of the scrotum and testes,pain in testicles,mass in scrotum,lower abdominal pain,groin pain,swelling of scrotum,,,,
degenerative disc disease,leg pain,arm pain,back pain,low back pain,loss of sensation,shoulder pain,lower body pain,joint pain,neck pain,paresthesia,hip pain,
hirsutism,abnormal appearing skin,acne or pimples,eyelid swelling,apnea,,,,,,,,
dislocation of the foot,elbow weakness,vomiting,foot or toe pain,,,,,,,,,
hydronephrosis,pain in testicles,sharp abdominal pain,nausea,lower abdominal pain,back pain,side pain,suprapubic pain,vomiting,,,,
diverticulosis,blood in stool,nausea,lower abdominal pain,heartburn,melena,rectal bleeding,sharp abdominal pain,vomiting,diarrhea,upper abdominal pain,,
pain after an operation,sharp chest pain,leg pain,headache,back pain,low back pain,nausea,lower abdominal pain,neck pain,side pain,sharp abdominal pain,vomiting,
huntington disease,anxiety and nervousness,elbow weakness,,,,,,,,,,
lymphoma,hoarse voice,groin mass,neck mass,itchy ear(s),regurgitation,fatigue,regurgitation.1,,,,,
dermatitis due to sun exposure,skin swelling,lack of growth,hurts to breath,foot or toe cramps or spasms,irregular appearing scalp,skin moles,abnormal appearing skin,skin lesion,acne or pimples,,,
anemia due to chronic kidney disease,shortness of breath,peripheral edema,recent weight loss,weakness,too little hair,fatigue,,,,,,
injury to internal organ,sharp chest pain,retention of urine,frequent urination,back pain,side pain,sharp abdominal pain,,,,,,
scleritis,abnormal involuntary movements,pain in eye,spots or clouds in vision,headache,eye redness,,,,,,,
pterygium,diminished vision,foreign body sensation in eye,spots or clouds in vision,eye redness,acne or pimples,symptoms of eye,lacrimation,,,,,
fungal infection of the skin,acne or pimples,irregular appearing scalp,symptoms of bladder,peeling,hip swelling,foot or toe cramps or spasms,skin swelling,skin lesion,hurts to breath,abnormal appearing skin,,
insulin overdose,depressive or psychotic symptoms,emotional symptoms,,,,,,,,,,
syndrome of inappropriate secretion of adh (siadh),dizziness,feeling ill,cross-eyed,,,,,,,,,
foreign body in the ear,throat feels tight,ear pain,pelvic pressure,diminished hearing,fluid in ear,,,,,,,
premenstrual tension syndrome,depressive or psychotic symptoms,lower abdominal pain,back pain,long menstrual periods,low back swelling,headache,,,,,,
orbital cellulitis,diminished hearing,peripheral edema,eye redness,fever,pain in eye,sweating,symptoms of eye,,,,,
injury to the leg,knee pain,ankle pain,knee stiffness or tightness,leg swelling,infant feeding problem,unwanted hair,too little hair,leg pain,foot or toe swelling,knee swelling,foot or toe pain,problems with movement
hepatic encephalopathy,depressive or psychotic symptoms,abusing alcohol,fainting,sharp abdominal pain,fluid retention,shortness of breath,,,,,,
bone cancer,leg pain,peripheral edema,fatigue,low back pain,problems with movement,,,,,,,
syringomyelia,fainting,headache,shoulder pain,back pain,,,,,,,,
pulmonary fibrosis,chest tightness,cough,fainting,difficulty breathing,sharp chest pain,fever,shortness of breath,,,,,
mitral valve disease,shortness of breath,sharp chest pain,dizziness,fatigue,shoulder lump or mass,increased heart rate,infertility,chest tightness,irregular heartbeat,,,
